id;person1_id;person2_id;marriage;separation;local;created_at;updated_at
202;588;627;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
203;462;615;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
204;470;498;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
205;662;663;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
206;664;665;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
207;666;667;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
208;668;669;;;;2023-05-15 01:37:00 UTC;2023-05-15 01:37:00 UTC
209;670;671;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
210;172;672;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
211;71;208;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
212;81;675;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
213;72;676;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
214;68;677;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
215;76;678;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
216;7;679;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
217;74;683;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
218;75;687;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
219;199;691;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
220;694;705;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
221;695;704;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
222;696;703;1967-11-21;;Butantã/SP;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
223;697;702;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
224;698;701;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
225;699;700;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
226;721;722;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
227;485;639;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
228;491;499;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
229;541;579;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
230;508;642;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
231;459;516;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
232;523;534;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
233;570;575;;;;2023-05-15 01:37:01 UTC;2023-05-15 01:37:01 UTC
234;582;633;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
